left_border_x,left_border_y,right_border_x,right_border_y
-7.800000000000001,10.0,-7.800000000000001,15.0
-8.099999999999998,10.0,-8.099999999999998,15.0
-8.399999999999999,10.0,-8.399999999999999,15.0
-8.7,10.0,-8.7,15.0
-9.0,10.0,-9.0,15.0
-9.3,10.0,-9.3,15.0
-9.599999999999998,10.0,-9.599999999999998,15.0
-9.899999999999999,10.0,-9.899999999999999,15.0
-10.2,10.0,-10.2,15.0
-10.5,10.0,-10.5,15.0
-10.8,10.0,-10.8,15.0
-11.099999999999998,10.0,-11.099999999999998,15.0
-11.399999999999999,10.0,-11.399999999999999,15.0
-11.7,10.0,-11.7,15.0
-12.0,10.0,-12.0,15.0
-12.3,10.0,-12.3,15.0
-12.599999999999998,10.0,-12.599999999999998,15.0
-12.899999999999999,10.0,-12.899999999999999,15.0
-13.2,10.0,-13.2,15.0
-13.5,10.0,-13.5,15.0
-13.799999999999997,10.0,-13.799999999999997,15.0
-14.099999999999998,10.0,-14.099999999999998,15.0
-14.399999999999999,10.0,-14.399999999999999,15.0
-14.7,10.0,-14.7,15.0
-15.0,10.0,-14.999999999999998,15.0
-15.314107590781283,9.995065603657316,-15.471161386171925,14.992598405485975
-15.627905195293135,9.980267284282716,-15.9418577929397,14.970400926424073
-15.941083133185142,9.9556196460308,-16.41162469977771,14.9334294690462
-16.25333233564304,9.921147013144779,-16.879998503464563,14.881720519717168
-16.564344650402308,9.876883405951379,-17.346516975603464,14.815325108927066
-16.873813145857245,9.822872507286887,-17.81071971878587,14.73430876093033
-17.181432413965425,9.759167619387474,-18.272148620948137,14.63875142908121
-17.486898871648545,9.685831611286313,-18.73034830747282,14.528747416929468
-17.789911060392292,9.60293685676943,-19.184866590588438,14.404405285154146
-18.090169943749473,9.510565162951536,-19.63525491562421,14.265847744427305
-18.387379202452912,9.408807689542254,-20.081068803679372,14.113211534313383
-18.68124552684678,9.297764858882513,-20.52186829027017,13.94664728832377
-18.971478906347805,9.177546256839813,-20.957218359521708,13.766319385259719
-19.257792915650725,9.048270524660195,-21.38668937347609,13.572405786990291
-19.539904997395467,8.910065241883679,-21.8098574960932,13.365097862825518
-19.81753674101715,8.763066800438637,-22.226305111525726,13.144600200657955
-20.090414157503712,8.607420270039437,-22.63562123625557,12.911130405059154
-20.358267949789965,8.443279255020151,-23.037401924684946,12.664918882530229
-20.62083377852131,8.270805742745617,-23.43125066778196,12.406208614118427
-20.87785252292473,8.090169943749475,-23.816778784387097,12.135254915624213
-21.129070536529763,7.9015501237569055,-24.193605804794643,11.852325185635358
-21.3742398974869,7.705132427757892,-24.561359846230346,11.557698641636838
-21.61311865323652,7.501110696304597,-24.919677979854775,11.251666044456895
-21.845471059286886,7.289686274214114,-25.268206588930333,10.934529411321172
-22.071067811865476,7.0710678118654755,-25.606601717798213,10.606601717798213
-22.289686274214112,6.845471059286888,-25.934529411321172,10.268206588930333
-22.501110696304597,6.613118653236518,-26.251666044456893,9.919677979854777
-22.705132427757896,6.374239897486895,-26.55769864163684,9.561359846230342
-22.901550123756905,6.129070536529763,-26.852325185635358,9.193605804794645
-23.090169943749473,5.877852522924733,-27.13525491562421,8.816778784387099
-23.270805742745615,5.620833778521308,-27.406208614118427,8.431250667781962
-23.44327925502015,5.358267949789966,-27.664918882530227,8.03740192468495
-23.607420270039437,5.0904141575037105,-27.911130405059154,7.635621236255567
-23.763066800438637,4.817536741017152,-28.144600200657955,7.226305111525728
-23.91006524188368,4.539904997395468,-28.365097862825515,6.809857496093203
-24.048270524660193,4.257792915650729,-28.572405786990288,6.386689373476093
-24.17754625683981,3.971478906347806,-28.766319385259717,5.957218359521709
-24.297764858882516,3.6812455268467774,-28.946647288323774,5.521868290270167
-24.408807689542254,3.3873792024529132,-29.113211534313383,5.081068803679369
-24.510565162951536,3.090169943749475,-29.265847744427305,4.635254915624213
